,Lat,Long,Code,Campground,Type,City,State
,39.006,-104.84,PERE,Peregrine Pines Military - USAF Academy,MIL,,CO
,39.588,-106.069,PINC,Pine Cove,NF,Frisco,CO
,37.4,-107.535,PINP,Pine Point - Vallecito Reservoir,NF,Bayfield,CO
,37.447,-107.505,PINR,Pine River,NF,Durango,CO
,40.492,-106.008,PINS,Pines,NF,Rustic,CO
,40.364,-105.283,PINE,Pinewood Reservoir,CP,Loveland,CO
,37.617,-104.831,PINN,Pinon - Lathrop State Park,SP,Walsenburg,CO
,37.745,-105.505,PINY,Pinyon Flats - Sand Dunes National Monument,NM,Mosca,CO
,39.212,-107.813,PION,Pioneer - Vega State Park,SP,Collbran,CO
,40.079,-106.103,PION,Pioneer Park,CP,Hot Sulphur Sp,CO
,40.626,-103.246,PION,Pioneer Park,CP,Sterling,CO
,38.61,-106.5,PITK,Pitkin,NF,Pitkin,CO
,39.294,-105.204,PLAT,Platte River,NF,Woodland Park,CO
,38.085,-102.959,POIN,Point - John Martin State Park,SRA,Mcclave,CO
