,Long,Lat,Code,Campground,Type,City,State
,42.778,-91.878,MAYN,Maynard City Park,CP,Maynard,IA
,42.318,-92.142,MCFA,McFarlane Park,CP,La Porte City,IA
,40.75,-92.393,MCGO,McGowen Rec Area,CP,Bloomfield,IA
,43.127,-93.452,MCIN,McIntosh Woods State Park,SP,Ventura,IA
,41.052,-94.382,MCKI,McKinley Park,CP,Creston,IA
,41.525,-94.414,MENL,Menlo City Park,CP,Menlo,IA
,42.907,-94.621,MERE,Meredith Co Park,CP,Plover,IA
,41.12,-92.837,MIAM,Miami Lake Park,CP,Lovilia,IA
,41.798,-91.9,MIDD,Middle Amana Park,CP,Middle Amana,IA
,41.352,-94.281,MIDD,Middle River Forest Area,CP,Dexter,IA
,40.952,-91.547,MIDW,Midwest Old Threshers,CP,Mount Pleasant,IA
,42.272,-94.762,MIKE,Mike Macke Memorial Park,CP,Lake City,IA
,42.984,-95.668,MILL,Mill Creek Co Park,CP,Paulina,IA
,42.516,-90.642,MILL,Miller Riverview City Park,CP,Dubuque,IA
,42.195,-92.018,MILR,Milroy Access,CP,Vinton,IA
,42.259,-92.019,MINN,Minne Estema Park,CP,Vinton,IA
,43.365,-95.129,MINN,Minnewashta Lake,CP,,IA
,41.557,-95.906,MISS,Missouri Valley City Park,CP,Missouri Valle,IA
,40.602,-93.513,MOOR,Moore - Gosch Memorial Park,CP,Lineville,IA
,42.357,-95.479,MOOR,Moorehead Pioneer County Park,CP,Ida Grove,IA
,41.989,-91.76,MORG,Morgan Creek County Park,CP,Palo,IA
,41.24,-94.637,MORM,Mormon Trail County Park,CP,Bridgewater,IA
,40.888,-91.8,MORR,Morris County Park,CP,Stockport,IA
,42.807,-91.351,MOTO,Motor Mill Historic Site,CP,Motor,IA
,42.616,-90.706,MUDL,Mud Lake County Park,CP,Dubuque,IA
,41.577,-94.331,NATI,Nations Bridge Co Park,CP,Stuart,IA
,41.936,-95.587,NELS,Nelson Park,CP,Dow City,IA
,43.058,-92.303,NEWH,New Hampton City,CP,New Hampton,IA
,42.536,-91.124,NEWW,New Wine County Park,CP,Dyersville,IA
,40.588,-93.754,NINE,Nine Eagles State Park,SP,Davis City,IA
,41.568,-95.323,NISH,Nishna Bend Rec Area,CP,Harlan,IA
,40.761,-94.985,NODA,Nodaway Valley County Park,CP,Clarinda,IA
,42.848,-92.524,NORC,North Cedar Park,CP,Plainfield,IA
,41.378,-92.971,NORT,North Overlook - Red Rock Lake,COE,Pella,IA
,42.866,-92.088,NORW,North Woods Park,CP,Sumner,IA
,43.059,-96.472,OAKG,Oak Grove Co Park,CP,Hawarden,IA
